sample_name,read_1,read_2,accession_number,year,country,publication,purpose
ERR2525488,/data/slow/bdri/azuza/samples/ERR2525488_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2525488_2.fastq.gz,ERR2525488,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332780,/data/slow/bdri/azuza/samples/ERR3332780_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332780_2.fastq.gz,ERR3332780,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909568,/data/slow/bdri/azuza/samples/ERR2909568_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909568_2.fastq.gz,ERR2909568,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909557,/data/slow/bdri/azuza/samples/ERR2909557_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909557_2.fastq.gz,ERR2909557,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332746,/data/slow/bdri/azuza/samples/ERR3332746_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332746_2.fastq.gz,ERR3332746,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332634,/data/slow/bdri/azuza/samples/ERR3332634_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332634_2.fastq.gz,ERR3332634,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2525487,/data/slow/bdri/azuza/samples/ERR2525487_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2525487_2.fastq.gz,ERR2525487,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332745,/data/slow/bdri/azuza/samples/ERR3332745_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332745_2.fastq.gz,ERR3332745,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332769,/data/slow/bdri/azuza/samples/ERR3332769_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332769_2.fastq.gz,ERR3332769,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332555,/data/slow/bdri/azuza/samples/ERR3332555_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332555_2.fastq.gz,ERR3332555,2016,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332596,/data/slow/bdri/azuza/samples/ERR3332596_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332596_2.fastq.gz,ERR3332596,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR2909592,/data/slow/bdri/azuza/samples/ERR2909592_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR2909592_2.fastq.gz,ERR2909592,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332623,/data/slow/bdri/azuza/samples/ERR3332623_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332623_2.fastq.gz,ERR3332623,2013,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332643,/data/slow/bdri/azuza/samples/ERR3332643_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332643_2.fastq.gz,ERR3332643,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332633,/data/slow/bdri/azuza/samples/ERR3332633_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332633_2.fastq.gz,ERR3332633,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332701,/data/slow/bdri/azuza/samples/ERR3332701_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332701_2.fastq.gz,ERR3332701,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332750,/data/slow/bdri/azuza/samples/ERR3332750_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332750_2.fastq.gz,ERR3332750,2015,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
ERR3332737,/data/slow/bdri/azuza/samples/ERR3332737_1.fastq.gz,/data/slow/bdri/azuza/samples/ERR3332737_2.fastq.gz,ERR3332737,2014,Kenya,"Kariuki, Dyson, et al. eLife 2021",Global H58 Phylogeny
